id,punctuality,cancellationrate,ridescompleted,overallrating,physical_strength,experience,reliability,availability,communication_skills,languages_proficiency,safety_record,customer_reviews,age,weight,legal_documentation,health_condition,previous_health_history,cost_efficiency,location_knowledge,criminal_record,platform_access,schedule_awareness,overallperformance
1,52,26,9,80,66,12,96,13,89,3,53,64,27,78,Yes,Poor,Serious,10,3,Minor,Yes,High,
2,93,89,62,3,27,26,24,92,86,9,22,22,57,98,No,Poor,Mild,2,6,Minor,No,High,
3,15,60,37,20,2,16,23,58,59,7,21,60,55,94,No,Poor,Serious,9,3,Minor,Yes,Medium,
4,72,41,97,24,90,37,62,20,27,7,70,64,23,142,No,Fair,None,10,7,Major,No,Low,
5,61,29,51,54,17,22,96,92,49,6,70,93,25,79,No,Fair,Mild,9,10,Major,No,High,
6,21,15,44,33,33,29,37,72,77,8,4,72,40,65,No,Poor,Serious,1,9,Minor,Yes,High,
7,83,45,24,24,9,14,12,61,33,4,94,11,64,89,Yes,Poor,Serious,10,2,Major,Yes,Low,
8,87,65,79,75,43,28,55,39,98,8,75,14,43,68,No,Fair,None,3,5,Clean,Yes,High,
9,75,89,59,72,48,5,13,1,99,4,62,60,63,67,No,Fair,Mild,8,6,Clean,No,High,
10,75,71,32,36,39,47,23,3,1,8,62,30,60,50,No,Good,Serious,6,4,Clean,No,Low,
11,88,9,96,38,93,49,89,77,21,9,94,35,29,127,Yes,Good,None,5,4,Minor,Yes,Low,
12,100,88,88,84,42,30,99,92,55,3,95,85,43,96,No,Fair,Serious,5,4,Clean,Yes,Low,
13,24,1,52,99,26,46,30,62,6,3,24,37,30,115,Yes,Poor,Mild,6,2,Major,Yes,Low,
14,3,8,62,89,99,5,17,63,92,2,55,5,57,141,No,Poor,Serious,7,4,Minor,Yes,Medium,
15,22,88,58,99,50,12,62,25,81,10,9,83,35,143,No,Poor,Serious,1,1,Major,No,Low,
16,53,63,52,25,25,16,84,56,69,3,3,78,42,87,Yes,Poor,Serious,9,6,Clean,Yes,Medium,
17,2,11,12,93,24,26,89,33,95,3,31,26,50,100,No,Good,Serious,3,1,Clean,Yes,Medium,
18,88,81,39,18,13,26,86,38,5,5,40,62,64,112,Yes,Fair,None,4,10,Clean,Yes,Medium,
19,30,8,2,82,60,48,13,6,3,5,36,4,57,53,Yes,Poor,None,10,6,Minor,Yes,High,
20,38,35,3,66,7,21,59,58,53,2,24,89,60,50,No,Good,Mild,1,1,Major,No,Medium,
21,2,35,56,54,57,39,19,44,23,10,95,42,29,57,Yes,Poor,None,10,6,Minor,Yes,Medium,
22,64,33,81,35,36,36,49,45,53,6,6,89,61,78,No,Fair,None,3,10,Minor,No,High,
23,60,5,59,80,45,33,100,32,37,5,66,18,53,104,No,Good,Mild,2,8,Clean,Yes,High,
